device_name,adom,serial,ip,platform,os_version,conn_status,db_status,policy_package,policy_status
cl-fw-ama-DOM-111-Araruama,DOM_ATACAREJO,FGT40FTK21050882,187.72.59.197,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-111-Araruama,❓ Unknown
cl-fw-arbu-DOM-131-Buzios,DOM_ATACAREJO,FGT40FTK2409BXV1,189.112.141.25,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-ars-DOM-104-Angra1,DOM_ATACAREJO,FGT40FTK2209HHJG,187.72.48.125,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-ars-DOM-104-Angra1,❓ Unknown
cl-fw-ars-DOM-112-Angra2,DOM_ATACAREJO,FGT40FTK21001647,187.32.232.221,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-112-Angra2,❓ Unknown
cl-fw-bero-DOM-123-Belford_Roxo,DOM_ATACAREJO,FGT40FTK2109C2Z5,187.32.32.77,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-DomAtacarejo_Lojas,❓ Unknown
cl-fw-bng-DOM-126-Bangu,DOM_ATACAREJO,FGT60ETK20001571,200.222.61.214,FortiGate-60E,v7.0.11,🟢 Up,✅ In-Sync,cl-fw-bng-DOM-126-Bangu,❓ Unknown
cl-fw-cht-DOM-119-Ceasa,DOM_ATACAREJO,FGT40FTK2209HJ7Z,187.72.29.249,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-cht-DOM-119-Ceasa,❓ Unknown
cl-fw-dqx-DOM-109-Caxias1,DOM_ATACAREJO,FGT40FTK21049789,168.205.182.111,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-109-Caxias1,❓ Unknown
cl-fw-mce-DOM-110-Macae,DOM_ATACAREJO,FGT40FTK21051065,168.197.237.33,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-110-Macae,❓ Unknown
cl-fw-mrc-DOM-118-Marica,DOM_ATACAREJO,FGT40FTK23090153,201.16.249.201,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-mrc-DOM-118-Marica,❓ Unknown
cl-fw-nri-DOM-107-Niteroi,DOM_ATACAREJO,FGT40FTK2209HJ3K,138.99.135.9,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-107-Niteroi,❓ Unknown
