device_name,hostname,adom,serial,platform,os_version,status,file_size_bytes,file_size_kb,file_path,error_message
cl-fw-ama-DOM-111-Araruama,cl-fw-ama-DOM-111-Araruama,DOM_ATACAREJO,FGT40FTK21050882,FortiGate-40F,v7.0.10,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-ama-DOM-111-Araruama-17-05-47.conf,No permission for the resource
cl-fw-arbu-DOM-131-Buzios,cl-fw-arbu-DOM-131-Buzios,DOM_ATACAREJO,FGT40FTK2409BXV1,FortiGate-40F,v7.0.10,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-arbu-DOM-131-Buzios-17-05-47.conf,No permission for the resource
cl-fw-ars-DOM-104-Angra1,cl-fw-ars-DOM-104-Angra1,DOM_ATACAREJO,FGT40FTK2209HHJG,FortiGate-40F,v7.0.10,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-ars-DOM-104-Angra1-17-05-47.conf,No permission for the resource
cl-fw-ars-DOM-112-Angra2,cl-fw-ars-DOM-112-Angra2,DOM_ATACAREJO,FGT40FTK21001647,FortiGate-40F,v7.0.10,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-ars-DOM-112-Angra2-17-05-47.conf,No permission for the resource
cl-fw-bero-DOM-123-Belford_Roxo,cl-fw-bero-DOM-123-Belford_Roxo,DOM_ATACAREJO,FGT40FTK2109C2Z5,FortiGate-40F,v7.0.10,✅ Sucesso,561065,547.92,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-bero-DOM-123-Belford_Roxo-17-05-47.conf,
cl-fw-bng-DOM-126-Bangu,cl-fw-bng-DOM-126-Bangu,DOM_ATACAREJO,FGT60ETK20001571,FortiGate-60E,v7.0.11,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-bng-DOM-126-Bangu-17-05-47.conf,No permission for the resource
cl-fw-cht-DOM-119-Ceasa,cl-fw-cht-DOM-119-Ceasa,DOM_ATACAREJO,FGT40FTK2209HJ7Z,FortiGate-40F,v7.0.10,✅ Sucesso,564644,551.41,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-cht-DOM-119-Ceasa-17-05-47.conf,
cl-fw-mce-DOM-110-Macae,cl-fw-mce-DOM-110-Macae,DOM_ATACAREJO,FGT40FTK21051065,FortiGate-40F,v7.0.10,✅ Sucesso,530311,517.88,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-mce-DOM-110-Macae-17-05-47.conf,
cl-fw-mrc-DOM-118-Marica,cl-fw-mrc-DOM-118-Marica,DOM_ATACAREJO,FGT40FTK23090153,FortiGate-40F,v7.0.10,✅ Sucesso,561292,548.14,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-mrc-DOM-118-Marica-17-05-47.conf,
cl-fw-nri-DOM-107-Niteroi,cl-fw-nri-DOM-107-Niteroi,DOM_ATACAREJO,FGT40FTK2209HJ3K,FortiGate-40F,v7.0.10,✅ Sucesso,531905,519.44,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-nri-DOM-107-Niteroi-17-05-47.conf,
cl-fw-pts-DOM-130-Petropolis,cl-fw-pts-DOM-130-Petropolis,DOM_ATACAREJO,FGT40FTK2409BYMV,FortiGate-40F,v7.0.10,✅ Sucesso,565524,552.27,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-pts-DOM-130-Petropolis-17-05-47.conf,
cl-fw-rjo-DOM-101-Realengo,cl-fw-rjo-DOM-101-Realengo,DOM_ATACAREJO,FGT40FTK23099AD9,FortiGate-40F,v7.0.10,✅ Sucesso,513324,501.29,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-101-Realengo-17-05-47.conf,
cl-fw-rjo-DOM-102-Taquara,cl-fw-rjo-DOM-102-Taquara,DOM_ATACAREJO,FGT40FTK23090156,FortiGate-40F,v7.0.10,✅ Sucesso,534438,521.91,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-102-Taquara-17-05-47.conf,
cl-fw-rjo-DOM-106-Inhauma,cl-fw-rjo-DOM-106-Inhauma,DOM_ATACAREJO,FGT40FTK2209HHJ7,FortiGate-40F,v7.0.10,✅ Sucesso,545400,532.62,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-106-Inhauma-17-05-47.conf,
cl-fw-dqx-DOM-109-Caxias1,cl-fw-rjo-DOM-109-Caxias1,DOM_ATACAREJO,FGT40FTK21049789,FortiGate-40F,v7.0.10,✅ Sucesso,550770,537.86,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-109-Caxias1-17-05-47.conf,
cl-fw-rjo-DOM-113-SaoPedro,cl-fw-rjo-DOM-113-SaoPedro,DOM_ATACAREJO,FGT40FTK21052462,FortiGate-40F,v7.0.10,✅ Sucesso,529977,517.56,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-113-SaoPedro-17-05-47.conf,
cl-fw-rjo-DOM-114-CampoGran,cl-fw-rjo-DOM-114-CampoGran,DOM_ATACAREJO,FGT40FTK21050604,FortiGate-40F,v7.0.10,✅ Sucesso,534880,522.34,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-114-CampoGran-17-05-47.conf,
cl-fw-rjo-DOM-115-Campos1,cl-fw-rjo-DOM-115-Campos1,DOM_ATACAREJO,FGT40FTK23099242,FortiGate-40F,v7.0.10,✅ Sucesso,543957,531.21,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-115-Campos1-17-05-47.conf,
cl-fw-rjo-DOM-117-Caxias2,cl-fw-rjo-DOM-117-Caxias2,DOM_ATACAREJO,FGT40FTK2209HHS6,FortiGate-40F,v7.0.10,✅ Sucesso,425693,415.72,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-117-Caxias2-17-05-47.conf,
cl-fw-rjo-DOM-120-Itaperuna,cl-fw-rjo-DOM-120-Itaperuna,DOM_ATACAREJO,FGT40FTK22099S03,FortiGate-40F,v7.0.10,✅ Sucesso,521512,509.29,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-120-Itaperuna-17-05-47.conf,
cl-fw-rjo-DOM-121-Campos2,cl-fw-rjo-DOM-121-Campos2,DOM_ATACAREJO,FGT40FTK23099557,FortiGate-40F,v7.0.10,✅ Sucesso,525219,512.91,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-121-Campos2-17-05-47.conf,
cl-fw-rjo-DOM-124-mesquita,cl-fw-rjo-DOM-124-mesquita,DOM_ATACAREJO,FGT40FTK23092498,FortiGate-40F,v7.0.10,✅ Sucesso,547192,534.37,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-124-mesquita-17-05-47.conf,
cl-fw-rjo-DOM-129-Iguacu,cl-fw-rjo-DOM-129-Iguacu,DOM_ATACAREJO,FGT40FTK2109A2H7,FortiGate-40F,v7.0.11,✅ Sucesso,503975,492.16,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-129-Iguacu-17-05-47.conf,
cl-fw-rjo-DOM-RioCentro-MTZ,cl-fw-rjo-DOM-RioCentro-MTZ,DOM_ATACAREJO,FG100FTK23024786,FortiGate-100F,v7.0.13,✅ Sucesso,599234,585.19,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rjo-DOM-RioCentro-MTZ-17-05-47.conf,
cl-fw-rsd-DOM-116-Resende,cl-fw-rsd-DOM-116-Resende,DOM_ATACAREJO,FGT40FTK2209HH50,FortiGate-40F,v7.0.10,✅ Sucesso,521996,509.76,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-rsd-DOM-116-Resende-17-05-47.conf,
cl-fw-sgo-DOM-127-Sao_Goncalo,cl-fw-sgo-DOM-127-Sao_Goncalo,DOM_ATACAREJO,FGT40FTK22067878,FortiGate-40F,v7.0.11,✅ Sucesso,548913,536.05,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-sgo-DOM-127-Sao_Goncalo-17-05-47.conf,
cl-fw-smi-DOM-105-SJMeriti,cl-fw-smi-DOM-105-SJMeriti,DOM_ATACAREJO,FGT40FTK2209HHR3,FortiGate-40F,v7.0.10,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-smi-DOM-105-SJMeriti-17-05-47.conf,No permission for the resource
cl-fw-trl-DOM-108-Teresopolis,cl-fw-trl-DOM-108-Teresopolis,DOM_ATACAREJO,FGT40FTK2209HHH6,FortiGate-40F,v7.0.10,✅ Sucesso,540848,528.17,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/DOM_ATACAREJO/cl-fw-trl-DOM-108-Teresopolis-17-05-47.conf,
cl-fw-afn-MartMinas-215,cl-fw-afn-MartMinas-215,MART_MINAS,FGT40FTK21099EXZ,FortiGate-40F,v7.0.13,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-afn-MartMinas-215-17-05-47.conf,No permission for the resource
cl-fw-ari-MartMinas-221,cl-fw-ari-MartMinas-221,MART_MINAS,FGT40FTK21099CCX,FortiGate-40F,v7.0.13,✅ Sucesso,762785,744.91,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-ari-MartMinas-221-17-05-47.conf,
cl-fw-arpo-MartMinas-218,cl-fw-arpo-MartMinas-218,MART_MINAS,FGT40FTK21099FGW,FortiGate-40F,v7.0.13,✅ Sucesso,726549,709.52,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-arpo-MartMinas-218-17-05-47.conf,
cl-fw-axa-MartMinas-228,cl-fw-axa-MartMinas-228,MART_MINAS,FGT40FTK21002621,FortiGate-40F,v7.0.13,✅ Sucesso,730879,713.75,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-axa-MartMinas-228-17-05-47.conf,
cl-fw-baik-MartMinas-273,cl-fw-baik-MartMinas-273,MART_MINAS,FGT40FTK2209F6UC,FortiGate-40F,v7.0.13,✅ Sucesso,697078,680.74,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-baik-MartMinas-273-17-05-47.conf,
