ADOM,Device,Hostname,Serial,Version,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13
DOM_ATACAREJO,cl-fw-rjo-DOM-101-Realengo,cl-fw-rjo-DOM-101-Realengo,FGT40FTK23099AD9,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-102-Taquara,cl-fw-rjo-DOM-102-Taquara,FGT40FTK23090156,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-115-Campos1,cl-fw-rjo-DOM-115-Campos1,FGT40FTK23099242,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-121-Campos2,cl-fw-rjo-DOM-121-Campos2,FGT40FTK23099557,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-120-Itaperuna,cl-fw-rjo-DOM-120-Itaperuna,FGT40FTK22099S03,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-mce-DOM-110-Macae,cl-fw-mce-DOM-110-Macae,FGT40FTK21051065,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-117-Caxias2,cl-fw-rjo-DOM-117-Caxias2,FGT40FTK2209HHS6,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-dqx-DOM-109-Caxias1,cl-fw-rjo-DOM-109-Caxias1,FGT40FTK21049789,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-trl-DOM-108-Teresopolis,cl-fw-trl-DOM-108-Teresopolis,FGT40FTK2209HHH6,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-114-CampoGran,cl-fw-rjo-DOM-114-CampoGran,FGT40FTK21050604,7.0,AUSENTE,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE,AUSENTE
