device_name,adom,serial,ip,platform,os_version,conn_status,db_status,policy_package,policy_status
cl-fw-afn-MartMinas-215,MART_MINAS,FGT40FTK21099EXZ,131.108.149.234,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ama-DOM-111-Araruama,DOM_ATACAREJO,FGT40FTK21050882,187.72.59.197,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-111-Araruama,❓ Unknown
cl-fw-arbu-DOM-131-Buzios,DOM_ATACAREJO,FGT40FTK2409BXV1,189.112.141.25,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-ari-MartMinas-221,MART_MINAS,FGT40FTK21099CCX,187.72.18.41,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-arpo-MartMinas-218,MART_MINAS,FGT40FTK21099FGW,187.72.47.77,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ars-DOM-104-Angra1,DOM_ATACAREJO,FGT40FTK2209HHJG,187.72.48.125,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-ars-DOM-104-Angra1,❓ Unknown
cl-fw-ars-DOM-112-Angra2,DOM_ATACAREJO,FGT40FTK21001647,187.32.232.221,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-112-Angra2,❓ Unknown
cl-fw-axa-MartMinas-228,MART_MINAS,FGT40FTK21002621,45.232.9.40,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-baik-MartMinas-273,MART_MINAS,FGT40FTK2209F6UC,181.189.91.75,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-bca-MartMinas-230,MART_MINAS,FGT40FTK21003020,179.108.209.61,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-bdp-MartMinas-247,MART_MINAS,FGT40FTK21021448,186.195.94.15,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-bero-DOM-123-Belford_Roxo,DOM_ATACAREJO,FGT40FTK2109C2Z5,187.32.32.77,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-DomAtacarejo_Lojas,❓ Unknown
cl-fw-bet-MartMinas-262,MART_MINAS,FGT40FTK21054135,170.239.254.131,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-bet-MartMinas-271,MART_MINAS,FGT40FTK21046753,45.71.89.65,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-bet-MartMinas-285,MART_MINAS,FGT40FTK2209EY7W,200.233.181.193,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-bet-MartMinas-285,🟡 Modified
cl-fw-bet-MartMinas-287,MART_MINAS,FGT40FTK2209ETXQ,177.69.218.5,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-bhe-MartMinas-251,MART_MINAS,FGT40FTK21046551,187.32.95.225,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-bhe-MartMinas-263,MART_MINAS,FGT40FTK21099ASK,187.72.31.161,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-bhe-MartMinas-283,MART_MINAS,FGT40FTK2209EY8H,187.32.129.253,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-bhe-MartMinas-286,MART_MINAS,FGT40FTK2209EYC6,131.255.113.100,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-bhe-marminas-LMN,MART_MINAS,FGT40FTK23090232,170.80.64.248,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-bhe-marminas-LMN,🟡 Modified
cl-fw-bhe-martminas-escr-a,MART_MINAS,FG4H0FT923907078,187.58.219.118,FortiGate-400F,v7.0.11,🟢 Up,✅ In-Sync,cl-fw-bhe-martminas-escr-a,🟡 Modified
cl-fw-bng-DOM-126-Bangu,DOM_ATACAREJO,FGT60ETK20001571,200.222.61.214,FortiGate-60E,v7.0.11,🟢 Up,✅ In-Sync,cl-fw-bng-DOM-126-Bangu,❓ Unknown
cl-fw-cem-MartMinas-202,MART_MINAS,FGT40FTK21099A23,187.72.137.89,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-cem-MartMinas-211,MART_MINAS,FGT40FTK21050504,187.32.48.185,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-cem-MartMinas-235,MART_MINAS,FGT40FTK21052000,187.1.177.231,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-cem-MartMinas-CD,MART_MINAS,FG100FTK23074620,186.249.224.63,FortiGate-100F,v7.0.11,🟢 Up,✅ In-Sync,cl-fw-cem-MartMinas-CD,🟡 Modified
cl-fw-cet-MartMinas-281,MART_MINAS,FGT40FTK2209EV14,187.72.189.181,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-cet-MartMinas-281,🟡 Modified
cl-fw-cga-MartMinas-256,MART_MINAS,FGT40FTK21099AXB,45.71.78.27,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-cht-DOM-119-Ceasa,DOM_ATACAREJO,FGT40FTK2209HJ7Z,187.72.29.249,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-cht-DOM-119-Ceasa,❓ Unknown
cl-fw-cng-MartMinas-257,MART_MINAS,FGT40FTK21099CEQ,177.69.196.9,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-cnl-MartMinas-234,MART_MINAS,FGT40FTK21099AHT,189.39.17.9,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-cpo-MartMinas-248,MART_MINAS,FGT40FTK21020839,201.16.195.9,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-cuv-MartMinas-267,MART_MINAS,FGT40FTK21099BBN,187.32.145.9,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-dqx-DOM-109-Caxias1,DOM_ATACAREJO,FGT40FTK21049789,168.205.182.111,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-109-Caxias1,❓ Unknown
cl-fw-dvl-MartMinas-201,MART_MINAS,FGT40FTK23091485,189.112.203.89,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-dvl-MartMinas-237,MART_MINAS,FGT40FTK21009098,189.112.193.105,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-exm-MartMinas-264,MART_MINAS,FGT40FTK21007895,187.60.152.92,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟢 Installed
cl-fw-gvs-MartMinas-205,MART_MINAS,FGT40FTK21054201,187.72.215.193,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ian-MartMinas-232,MART_MINAS,FGT40FTK21051182,189.39.63.161,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-iba-MartMinas-239,MART_MINAS,FGT40FTK21099AHS,177.91.117.182,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-iie-MartMinas-276,MART_MINAS,FGT40FTK2209EUV4,200.169.10.156,FortiGate-40F,v7.0.11,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-iua-MartMinas-214,MART_MINAS,FGT40FTK21050985,45.231.162.186,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-jfa-MartMinas-206,MART_MINAS,FGT40FTK21099AFM,187.16.187.162,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-jfa-MartMinas-253,MART_MINAS,FGT40FTK21099FU9,189.112.228.145,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-jml-MartMinas-244,MART_MINAS,FGT40FTK21025358,200.71.65.18,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-jnu-MartMinas-274,MART_MINAS,FGT40FTK2209ESTH,187.84.26.163,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-jpi-MartMinas-254,MART_MINAS,FGT40FTK21099037,138.0.64.64,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-jua-MartMinas-250,MART_MINAS,FGT40FTK210999UC,201.140.211.95,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-lav-MartMinas-229,MART_MINAS,FGT40FTK21099AQE,45.234.242.203,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ldp-MartMinas-255,MART_MINAS,FGT40FTK21099AAZ,187.32.151.25,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-lgt-MartMinas-279,MART_MINAS,FGT40FTK23091312,200.169.2.197,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-mce-DOM-110-Macae,DOM_ATACAREJO,FGT40FTK21051065,168.197.237.33,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-110-Macae,❓ Unknown
cl-fw-mcl-MartMinas-219,MART_MINAS,FGT40FTK21052149,177.69.250.57,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-mcl-MartMinas-259,MART_MINAS,FGT40FTK21047070,187.44.4.238,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-mcl-MartMinas-260,MART_MINAS,FGT40FTK21009570,138.99.189.133,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-moo-MartMinas-249,MART_MINAS,FGT40FTK21099A4H,189.112.140.90,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-mrc-DOM-118-Marica,DOM_ATACAREJO,FGT40FTK23090153,201.16.249.201,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-mrc-DOM-118-Marica,❓ Unknown
cl-fw-nla-MartMinas-252,MART_MINAS,FGT40FTK21099A39,201.55.102.137,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-nri-DOM-107-Niteroi,DOM_ATACAREJO,FGT40FTK2209HJ3K,138.99.135.9,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-107-Niteroi,❓ Unknown
cl-fw-oci-MartMinas-A,MART_MINAS,FGVMSLTM26003257,144.22.171.225,FortiGate-VM64-OPC,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-oci-martminas-dr,MART_MINAS,FGVM4VTM24000943,204.216.145.80,FortiGate-VM64-OPC,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-oci-martminas-dr,❓ Unknown
cl-fw-pcs-MartMinas-242,MART_MINAS,FGT40FTK21020828,179.108.114.13,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-plo-MartMinas-280,MART_MINAS,FGT40FTK2209EUJH,45.181.186.3,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-pms-MartMinas-213,MART_MINAS,FGT40FTK21099E1L,201.48.100.34,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
